,user_id,count(followees_ids)
426,308361133,52
427,32670411,20
428,590902416,22
429,1411517634,541
430,259895828,3
431,105510379,63
432,2667088730,838
433,1331520409,55
434,2282627658,304
435,2764963508,2
436,181673017,4
437,873565422,47
438,1732391252,224
439,970759676,14
440,1271046680,4
441,301110843,50
442,1924132776,20
443,258800790,9
444,111611004,1
445,749921953,177
446,2958543277,40
447,585838203,1
448,383695631,41
449,1700265259,26
450,241926485,364
451,6715202,5458
452,2261486960,7
453,458822955,34
454,198979025,2067
455,215989834,1296
456,1633230848,50
457,347213068,448
458,442663718,1
459,2762911348,106
460,110622338,8
461,1266924818,953
462,477700262,9
463,2754758292,8
464,575831485,6
465,2167426278,51
466,292184543,204
467,2420321024,1
468,326199207,346
469,2278770540,1737
470,295520494,2
471,752015419,78
472,2305772562,31
473,847008290,2
474,2841244545,51
475,145715752,570
476,2815106612,33
477,403861927,10
478,314782176,6
479,736391197,8
480,2968979301,5
481,2842802429,33
482,224230382,1
483,945207439,9
484,2471188334,49
485,1008008600,1
486,2667993820,24
487,1607688198,9
488,2408771325,1
489,388821730,6
490,519575287,13
491,2762292435,48
492,539649693,34
493,981672308,12
